"Point.Forecast","Lo.95","Hi.95"
10208510.067476,8336894.27042066,12608700.5714418
8483550.18928373,6939647.59155285,10459369.4096407
6611267.66174965,5460665.12470628,8065998.73639227
5938384.26021321,4924655.03526803,7213623.69981804
5907715.686878,4900162.08327788,7174881.95225416
8239423.31124575,6747751.75300916,10145627.9934487
9485539.05123998,7724566.09761848,11751891.0150249
10050663.1692449,8165456.56247924,12484123.5701342
8425011.80516193,6893657.78632256,10384095.2766536
5816803.03319138,4827522.82368073,7060094.47371002
6080983.20160372,5038465.69244566,7393886.21999067
8191680.04340195,6710191.79759465,10084326.0623597
10258370.0040787,8268447.15625841,12852746.8678429
8266475.08513776,6720548.91408022,10260260.7065724
6698618.69714964,5492032.0650236,8238351.35823264
6051028.68674928,4980755.83366538,7410047.94459418
6064738.45644559,4991605.31770221,7427538.71729382
8284979.15954272,6734975.95111204,10284253.1197554
9178102.43846038,7429484.41910196,11445609.3045925
9868430.93173721,7963960.1761655,12347544.9521005
8210521.31981076,6676913.86820545,10187728.4881871
5891999.0782233,4854820.99869678,7207305.89135598
6027573.24956452,4962191.2913521,7380128.36943553
8294914.24785552,6742721.36833735,10297136.1571097
10758567.280211,8500291.20135972,13777976.9435668
8407663.84343962,6711154.10592149,10646810.2903177
6819835.77749834,5493613.20660567,8550220.79140134
6224983.57006779,5033852.87046619,7771560.30402568
6155640.61835475,4980116.59507709,7681051.17563143
8416786.36847019,6718111.81547509,10658926.6739659
9319714.66557925,7404834.37083744,11861899.9515261
